avtor,naslov,url
Elvis Costello and The Attractions,"(What's So Funny 'Bout) Peace, Love And Understanding",http://www.youtube.com/watch?v=Ssd3U_zicAI
Howlin' Wolf,Smokestack Lightning,http://www.youtube.com/watch?v=9Ri7TcukAJ8
Pavement,Summer Babe,http://www.youtube.com/watch?v=cMjlhIWxfFI
Run-D.M.C.,Walk This Way,http://www.youtube.com/watch?v=4B_UYYPb-Gk
Barrett Strong,Money (That's What I Want),http://www.youtube.com/watch?v=t5KU34DrrPI
The Beatles,Can't Buy Me Love,http://www.youtube.com/watch?v=srwxJUXPHvE
Eminem,"Stan"">Stan</a></b> by <a href=""/wiki/Eminem"" title=""Eminem",NOY
The Zombies,She's Not There,http://www.youtube.com/watch?v=it68QbUWVPM
The Clash,Train In Vain,http://www.youtube.com/watch?v=q3Yl4ehzX-o
Al Green,Tired Of Being Alone,http://www.youtube.com/watch?v=Tdw7kxD8eUc
Led Zeppelin,Black Dog,http://www.youtube.com/watch?v=SiPl3rQZ6f0
The Rolling Stones,Street Fighting Man,http://www.youtube.com/watch?v=muJCXvvdlBU
Bob Marley and The Wailers,"Get Up, Stand Up",http://www.youtube.com/watch?v=UubfH-1S43k
Neil Young,Heart Of Gold,http://www.youtube.com/watch?v=pO8kTRv4l3o
Blondie,One Way Or Another,http://www.youtube.com/watch?v=1VFuHj9_Tgw
Prince,Sign 'O' The Times,http://www.youtube.com/watch?v=xdBv8sOBZRk
Madonna,Like A Prayer,http://www.youtube.com/watch?v=BMZtrsuv508
Rod Stewart,Da Ya Think I'm Sexy?,http://www.youtube.com/watch?v=Hphwfq1wLJs
Willie Nelson,Blue Eyes Crying In The Rain,http://www.youtube.com/watch?v=JA644rSZX1A
The Rolling Stones,Ruby Tuesday,http://www.youtube.com/watch?v=a00_tPLcE_g
The Beatles,With A Little Help From My Friends,http://www.youtube.com/watch?v=SkyqRP8S93Y
James Brown,"Say It Loud (I'm Black And I'm Proud), Pt.1",http://www.youtube.com/watch?v=j0A_N-wmiMo
The Jam,That's Entertainment,http://www.youtube.com/watch?v=m-H0uIH5HHQ
Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,http://www.youtube.com/watch?v=2sAHiR0rkJg
Jackie Wilson,Lonely Teardrops,http://www.youtube.com/watch?v=jgyl_LBdcxo
Tina Turner,What's Love Got To Do With It,http://www.youtube.com/watch?v=oGpFcHTxjZs
Black Sabbath,Iron Man,http://www.youtube.com/watch?v=Uctu1e353os
The Everly Brothers,Wake Up Little Susie,http://www.youtube.com/watch?v=LojqhHnmyvc
Roy Orbison,In Dreams,http://www.youtube.com/watch?v=TPqZs7Vl_xg
Screamin' Jay Hawkins,I Put A Spell On You,http://www.youtube.com/watch?v=PwXai-sgM-s
Pink Floyd,Comfortably Numb,http://www.youtube.com/watch?v=_FrOQC-zEog
The Animals,Don't Let Me Be Misunderstood,http://www.youtube.com/watch?v=vstNm5xzuKM
Pink Floyd,Wish You Were Here,http://www.youtube.com/watch?v=IXdNnw99-Ic
Jimmy Cliff,Many Rivers To Cross,http://www.youtube.com/watch?v=SF3IktTk_pQ
Elvis Costello,Alison,http://www.youtube.com/watch?v=C9GlC9GyF4Y
Alice Cooper,School's Out,http://www.youtube.com/watch?v=2Oo8QzDHimQ
Led Zeppelin,Heartbreaker,http://www.youtube.com/watch?v=_xvTmpc4eX4
